Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,calculate_sale,total_cost,Profi,Profi_Marge,Vente_Point,Sales_Rep_encoder,Region_encoder,Product_Category_encoder,Customer_Type_encoder,Payment_Method_encoder,Sales_Channel_encoder,Region_and_Sales_Rep_encoder
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,4377.063600000001,2749.5,2304.4700000000003,0.45597223568798395,5053.97,1,1,3,1,1,0,6
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,63688.8272,64878.63,-60494.61,-13.79889005980812,4384.02,1,3,3,1,1,1,16
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,8913.6,7846.8,-3215.5700000000006,-0.6943231063885837,4631.23,3,2,2,1,0,1,13
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,170757.405,168871.16999999998,-166703.22999999998,-76.8947618476526,2167.94,1,2,0,0,2,1,11
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,8284.811599999999,8285.81,-4535.61,-1.2094314969868274,3750.2,2,0,1,0,2,0,2
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,27972.5728,28825.28,-25064.129999999997,-6.663953843904125,3761.15,2,3,2,0,1,0,17
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,65444.8046,69855.49,-69237.18000000001,-111.9781015995213,5002.33,1,3,3,1,1,0,16
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,160489.032,170315.46000000002,-162616.54,-21.121993734186095,7698.92,4,2,3,0,0,0,14
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,31220.32499999999,22141.8,-17918.41,-4.2426605167886455,8854.619999999999,3,2,3,0,0,0,13
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,42005.4444,40110.299999999996,-31870.719999999994,-3.8680029807344543,12000.73,2,3,0,0,0,0,17
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,25201.176,31721.43,-23202.98,-2.7238499961847515,8518.45,4,1,3,0,0,1,9
1100,2023-08-14,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,44997.12640000001,47334.829999999994,-45136.09,-20.52816158345234,7201.07,1,3,2,1,0,0,16
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,13462.890000000001,13062.21,-6454.409999999999,-0.9767865250158901,6607.8,4,3,2,1,0,1,19
1003,2023-12-31,Alice,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,102495.59999999999,125708.4,-120932.81,-25.323114002667733,4775.59,0,2,3,0,1,0,10
1022,2023-08-17,Charlie,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,42785.736,53281.2,-44467.649999999994,-5.045373317221777,8813.55,2,2,2,0,0,1,12
1053,2023-10-16,Bob,North,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,19193.904,5817.12,-3581.29,-1.6017720488588132,7289.8,1,1,3,0,1,1,6
1002,2023-05-30,David,North,6810.35,17,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online,North-David,72136.848,68420.92,-61610.57,-9.046608470930275,6810.35,3,1,3,1,1,0,8
1088,2023-10-04,Bob,East,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,181236.6,196197.2,-190080.45,-31.075399517717745,6116.75,1,0,1,0,2,1,1
1030,2023-07-17,David,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,45121.6332,57937.27,-54913.78999999999,-18.16244526175136,3023.48,3,3,0,1,1,0,18
1038,2023-03-11,Bob,South,1452.35,15,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online,South-Bob,38921.895000000004,38150.4,-36698.05,-25.26804833545633,3620.29,1,2,0,1,1,0,11
1002,2023-04-22,Eve,North,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,32760.705600000005,39583.44,-33032.21000000001,-5.042138651825689,15069.68,4,1,1,0,0,0,9
1064,2023-01-04,Eve,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,44654.896,47649.6,-40237.49,-5.4286147938980935,7412.11,4,0,1,0,1,0,4
